Species,Country.of.Origin,Region,Bag.Weight,In.Country.Partner,Harvest.Year,Variety,Processing.Method,Color,Number.of.Bags,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Category.Two.Defects,altitude_mean_meters,grading_year,grading_month
0,8,106,37,14,13,28,4,2,300,90.58,0.12,0,0.0,0,2075.0,2015,4
0,8,106,37,14,13,14,4,2,300,89.92,0.12,0,0.0,1,2075.0,2015,4
0,8,211,37,14,13,28,0,2,320,89.0,0.11,0,0.0,2,2000.0,2015,3
0,8,106,37,14,13,14,4,2,300,88.83,0.12,0,0.0,2,2075.0,2015,4
0,8,261,37,14,13,14,0,2,50,88.25,0.1,0,0.0,4,1822.5,2015,3
0,8,211,37,14,13,28,0,3,300,88.08,0.1,0,0.0,1,1905.0,2015,3
0,30,10,2,2,13,14,4,3,10,87.92,0.0,0,0.0,0,1872.0,2015,3
0,30,10,2,2,13,14,4,3,10,87.92,0.0,0,0.0,0,1943.0,2015,3
0,30,10,2,2,13,14,4,3,10,87.58,0.0,0,0.0,0,2080.0,2015,3
0,2,318,37,25,15,3,4,2,3,87.25,0.1,0,0.0,0,1450.0,2016,4
0,8,101,37,6,13,7,0,3,250,87.25,0.0,0,0.0,8,1850.0,2015,3
0,30,10,2,2,13,14,4,3,10,87.25,0.0,0,0.0,0,2019.0,2015,3
0,4,240,23,18,13,5,4,2,250,87.17,0.11,0,0.0,2,1300.0,2014,4
0,18,307,2,0,10,14,4,2,14,87.17,0.13,0,0.0,0,1320.0,2012,7
0,30,10,2,2,13,14,4,3,10,87.08,0.0,0,0.0,0,2112.0,2015,3
0,0,265,37,15,8,2,0,2,3,86.92,0.12,0,0.0,2,1250.0,2011,12
0,29,132,37,24,11,20,4,2,100,86.83,0.12,0,0.0,1,1950.0,2014,6
0,11,65,40,12,17,5,5,2,275,86.67,0.1,0,0.0,3,1400.0,2017,5
0,26,153,33,18,15,24,2,2,20,86.58,0.0,0,0.0,0,1200.0,2016,5
0,0,295,37,15,8,2,0,2,29,86.42,0.12,0,0.0,2,1300.0,2011,12
0,4,302,17,19,16,5,4,0,250,86.33,0.0,0,0.0,0,1300.0,2015,12
0,8,211,37,14,13,28,0,2,320,86.25,0.1,0,0.0,3,1775.0,2015,3
0,14,187,2,13,11,22,4,0,320,86.25,0.12,0,0.0,1,1800.0,2014,5
0,30,10,2,2,13,14,4,3,10,86.17,0.0,0,0.0,0,1941.0,2015,3
0,28,46,2,18,10,5,4,2,53,86.17,0.1,1,0.0,9,1300.0,2012,4
0,0,270,37,18,6,27,5,3,300,86.17,0.08,0,0.0,2,12.0,2011,1
0,0,270,37,18,6,27,5,3,300,86.17,0.01,0,0.0,3,12.0,2011,1
0,26,193,9,18,15,2,3,2,10,86.08,0.12,0,0.0,0,1000.0,2015,6
0,14,201,37,13,13,21,0,1,12,86.08,0.11,0,0.0,2,1754.0,2015,1
0,0,265,37,15,8,2,3,0,7,86.08,0.11,0,0.0,2,1250.0,2011,12
0,3,290,15,18,11,5,4,2,1,86.0,0.12,1,0.0,1,1200.0,2014,3
0,14,140,2,18,11,21,4,2,1,86.0,0.11,0,0.0,1,1860.0,2014,2
0,29,260,37,1,10,14,4,0,1,86.0,0.1,0,0.0,0,1650.0,2012,2
0,8,251,36,11,5,28,5,3,300,86.0,0.01,0,0.0,4,1750.0,2010,6
